query_name,official_id,official_title,query_group,operation_type,root_entity,accessed_entities,relationships_used,Rc_distinct,Rc_weighted,D,Re,DeltaR,DeltaRratio,association_count,associative_count,containment_count,lookup_count,dominant_semantic_type,weighted_relationships,description,entity_volatility_mean,entity_volatility_max,relationship_volatility_mean,relationship_volatility_max,update_volatility_mean,update_volatility_max
IS1_ProfileOfPerson,IS1,Profile of a person,short_read,read,Person,"['Person', 'Place']",['person_is_located_in_place'],1,1,1,0,1,1.0,1,0,0,0,association,['person_is_located_in_place x1'],Official IS1: retrieve a person's profile and city of residence.,0.6387794521978213,1.0,0.001358448840974608,0.001358448840974608,0.42630578441220573,1.0
IS2_RecentMessagesOfPerson,IS2,Recent messages of a person,short_read,read,Person,"['Person', 'Post', 'Comment']","['post_has_creator_person', 'comment_has_creator_person', 'comment_reply_of_post', 'comment_reply_of_comment']",4,4,2,2,2,0.5,2,0,2,0,mixed,"['post_has_creator_person x1', 'comment_has_creator_person x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1']",Official IS2: retrieve the last messages created by a person and the original post in the conversation.,0.5668116799498834,1.0,0.34260751095841724,0.37095920704497887,0.4386950119547599,1.0
IS3_FriendsOfPerson,IS3,Friends of a person,short_read,read,Person,['Person'],['person_knows_person'],1,1,1,0,1,1.0,1,0,0,0,association,['person_knows_person x1'],Official IS3: retrieve all friends of a person and the friendship creation date.,1.0,1.0,0.02524977293369664,0.02524977293369664,0.5126248864668483,1.0
IS4_ContentOfMessage,IS4,Content of a message,short_read,read,Post,"['Post', 'Comment']",[],0,0,0,0,0,0.0,0,0,0,1,lookup,[],Official IS4: retrieve content and creation date of a Message. Message is represented by Post or Comment.,0.3502175199248251,0.43118365642292833,0.0,0.0,0.3502175199248251,0.43118365642292833
IS5_CreatorOfMessage,IS5,Creator of a message,short_read,read,Post,"['Post', 'Comment', 'Person']","['post_has_creator_person', 'comment_has_creator_person']",2,2,1,1,1,0.5,2,0,0,0,association,"['post_has_creator_person x1', 'comment_has_creator_person x1']",Official IS5: retrieve the author of a Message. Message is represented by Post or Comment.,0.5668116799498834,1.0,0.3142558148718556,0.37095920704497887,0.4657893339186723,1.0
IS6_ForumOfMessage,IS6,Forum of a message,short_read,read,Post,"['Post', 'Comment', 'Forum', 'Person']","['forum_container_of_post', 'comment_reply_of_post', 'comment_reply_of_comment', 'forum_has_moderator_person']",4,4,3,1,3,0.75,1,0,3,0,containment,"['forum_container_of_post x1', 'comment_reply_of_post x1', 'comment_reply_of_comment x1', 'forum_has_moderator_person x1']",Official IS6: retrieve the forum containing a Message and the moderator of that forum.,0.5663087738836877,1.0,0.255907672866564,0.37095920704497887,0.41110822337512587,1.0
IS7_RepliesOfMessage,IS7,Replies of a message,short_read,read,Post,"['Post', 'Comment', 'Person']","['comment_reply_of_post', 'comment_reply_of_comment', 'comment_has_creator_person', 'post_has_creator_person', 'person_knows_person']",5,5,2,3,2,0.4,3,0,2,0,association,"['comment_reply_of_post x1', 'comment_reply_of_comment x1', 'comment_has_creator_person x1', 'post_has_creator_person x1', 'person_knows_person x1']",Official IS7: retrieve one-hop replies of a Message and whether reply author knows original author.,0.5668116799498834,1.0,0.2791359633534731,0.37095920704497887,0.387014357077127,1.0
IC1_TransitiveFriendsWithName,IC1,Transitive friends with a certain name,complex_read,read,Person,"['Person', 'Place', 'Organisation']","['person_knows_person', 'person_is_located_in_place', 'person_study_at_organisation', 'person_work_at_organisation', 'organisation_is_located_in_place']",5,7,4,3,4,0.5714285714,5,0,0,0,association,"['person_knows_person x3', 'person_is_located_in_place x1', 'person_study_at_organisation x1', 'person_work_at_organisation x1', 'organisation_is_located_in_place x1']","Official IC1: find people connected by up to 3 knows hops with a given first name, including workplaces and studies.",0.4260525064095871,1.0,0.005865023891324093,0.02524977293369664,0.16343532983567272,1.0
IC2_RecentMessagesByFriends,IC2,Recent messages by your friends,complex_read,read,Person,"['Person', 'Post', 'Comment']","['person_knows_person', 'post_has_creator_person', 'comment_has_creator_person']",3,3,2,1,2,0.6666666667000001,3,0,0,0,association,"['person_knows_person x1', 'post_has_creator_person x1', 'comment_has_creator_person x1']",Official IC2: find recent messages created by the friends of a person.,0.5668116799498834,1.0,0.21792046755913597,0.37095920704497887,0.39236607375450966,1.0
IC3_FriendsAndFriendsOfFriendsInCountries,IC3,Friends and friends of friends that have been to given countries,complex_read,read,Person,"['Person', 'Post', 'Comment', 'Place']","['person_knows_person', 'person_is_located_in_place', 'post_has_creator_person', 'comment_has_creator_person', 'post_is_located_in_place', 'comment_is_located_in_place', 'place_is_part_of_place']",7,8,4,4,4,0.5,6,0,1,0,association,"['person_knows_person x2', 'person_is_located_in_place x1', 'post_has_creator_person x1', 'comment_has_creator_person x1', 'post_is_located_in_place x1', 'comment_is_located_in_place x1', 'place_is_part_of_place x1']",Official IC3: find friends and friends-of-friends who created messages in two countries.,0.4944984860613232,1.0,0.18337592589458485,0.37095920704497887,0.29651140231885337,1.0
